Word,UniqueLetters,Score
BETEL,4,13924
BETHS,5,13026
BETON,5,12250
BETTA,4,13496
BEVEL,4,12184
BEVOR,5,11365
BEVVY,4,7668
BEWIG,5,9689
BEZEL,4,11940
BEZIL,5,10433
BHAJI,5,8975
BHANG,5,9249
BHOOT,4,10126
BHUTS,5,10640
BIALI,4,12482
BIALY,5,11296
BIBBS,3,10174
BIBES,4,13254
BIBLE,4,11254
BICEP,5,10729
BICES,5,13670
BIDDY,4,8517
BIDED,4,11210
BIDER,5,12403
BIDES,5,13855
BIDET,5,11772
BIDIS,4,12348
BIELD,5,11855
BIERS,5,15048
BIFFS,4,9500
BIFFY,4,6641
BIFID,4,8765
BIGGY,4,7391
BIGHT,5,8311
BIGLY,5,8599
BIGOS,5,11925
BIGOT,5,9842
BIJOU,5,8465
BIKED,5,10527
BIKER,5,11720
BIKES,5,13172
BIKIE,4,11499
BILBO,4,9887
BILBY,4,8561
BILES,5,14500
BILGE,5,11292
BILGY,5,8599
BILKS,5,11338
BILLS,4,12666
BILLY,4,9807
BIMAH,5,10115
BIMAS,5,13179
BIMBO,4,8911
BINAL,5,11848
BINDI,4,10041
BINDS,5,11714
BINER,5,12741
BINES,5,14193
BINGE,5,10985
BINGO,5,9618
BINIT,4,10603
BINTS,5,12276
BIOGS,5,11925
BIOME,5,11991
BIONT,5,10743
BIOTA,5,12539
BIPED,5,10914
BIPOD,5,9547
BIRCH,5,9320
BIRDS,5,12569
BIRKS,5,11886
BIRLE,5,13048
BIRLS,5,13214
BIROS,5,13681
BIRRS,4,13762
BIRSE,5,15048
BIRTH,5,10067
BISES,4,16500
BISKS,4,13338
BISON,5,12826
BITCH,5,8689
BITER,5,12965
BITES,5,14417
BITSY,5,11724
BITTS,4,12500
BITTY,4,9641
BIZES,5,12433
BLABS,4,12582
BLACK,5,9670
BLADE,5,13017
BLAFF,4,8662
BLAGS,5,12620
BLAHS,5,12764
BLAIN,5,11848
BLAME,5,12686
BLAMS,5,12852
BLAND,5,10876
BLANK,5,10193
BLARE,5,14210
BLASE,5,15662
BLAST,5,13745
BLATE,5,13579
BLATS,5,13745
BLAWN,5,9918
BLAWS,5,12225
BLAZE,5,11595
BLEAK,5,12334
BLEAR,5,14210
BLEAT,5,13579
BLEBS,4,12927
BLECH,5,10279
BLEED,4,13362
BLEEP,4,13066
BLEND,5,11221
BLENT,5,11783
BLESS,4,16173
BLEST,5,14090
BLETS,5,14090
BLIMP,5,8749
BLIMY,5,8831
BLIND,5,9714
BLING,5,9151
BLINI,4,10686
BLINK,5,9031
BLINY,5,9500
BLIPS,5,11725
BLISS,4,14666
BLITE,5,12417
BLITZ,5,8516
BLOAT,5,12212
BLOBS,4,11560
BLOCK,5,8648
BLOCS,5,11976
BLOGS,5,11598
BLOKE,5,11312
BLOND,5,9854
BLOOD,4,10628
BLOOM,4,10297
BLOOP,4,10332
BLOTS,5,12723
BLOWN,5,8896
BLOWS,5,11203
BLOWY,5,8344
BLUBS,4,10541
BLUED,5,10976
BLUER,5,12169
BLUES,5,13621
BLUET,5,11538
BLUEY,5,10762
BLUFF,4,6621
BLUME,5,10645
BLUNT,5,9397
BLURB,4,9089
BLURS,5,12335
BLURT,5,10252
BLUSH,5,10723
BLYPE,5,10373
BOARD,5,12198
BOARS,5,14843
BOART,5,12760
BOAST,5,14212
BOATS,5,14212
BOBBY,3,7455
BOBOS,3,12027
BOCCE,4,10980
BOCCI,4,9473
BOCKS,5,10648
BODED,4,11350
BODES,5,13995
BOEUF,5,10505
BOFFO,3,8107
BOFFS,4,9640
BOGAN,5,10780
BOGEY,5,10573
BOGGY,4,7531
BOGIE,5,11759
BOGLE,5,11432
BOGUS,5,11046
BOHEA,5,13065
BOHOS,4,12209
BOILS,5,13133
BOING,5,9618
BOINK,5,9498
BOITE,5,12884
BOKEH,5,10248
BOLAR,5,12843
BOLAS,5,14295
BOLDS,5,12161
BOLES,5,14640
BOLLS,4,12806
BOLOS,4,13273
BOLTS,5,12723
BOLUS,5,12254
BOMBE,4,10418
BOMBS,4,10584
BONCE,5,11503
BONDS,5,11854
BONED,5,11688
BONER,5,12881
BONES,5,14333
BONEY,5,11474
BONGO,4,9758
BONGS,5,11291
BONKS,5,11171
BONNE,4,12026
BONNY,4,9333
BONUS,5,11947
BONZE,5,10266
BOOBS,3,12027
BOOBY,3,9168
BOODY,4,9769
BOOED,4,12462
BOOGY,4,9206
BOOKS,4,11945
BOOMS,4,12297
BOOMY,4,9438
BOONS,4,12966
BOORS,4,13821
BOOST,4,13190
BOOTH,4,10126
BOOTS,4,13190
BOOTY,4,10331
BOOZE,4,11040
BOOZY,4,8347
BOPPY,4,8065
BORAL,5,12843
BORAS,5,14843
BORAX,5,10748
BORED,5,12543
BORER,4,13736
BORES,5,15188
BORIC,5,10851
BORKS,5,12026
BORNE,5,12881
BORON,4,11514
BORTS,5,13271
BORTY,5,10412
BORTZ,5,9204
BOSKS,4,13478
BOSKY,5,10619
BOSOM,4,12297
BOSON,4,12966
BOSSY,4,13947
BOSUN,5,11947
BOTAS,5,14212
BOTCH,5,8829
BOTEL,5,12557
BOTHY,5,8800
BOTTS,4,12640
BOUGH,5,7982
BOULE,5,12088
BOULT,5,10171
BOUND,5,9302
BOURG,5,9594
BOURN,5,10495
BOUSE,5,14088
BOUSY,5,11395
BOUTS,5,12171
BOVID,5,8665
BOWED,5,10392
BOWEL,5,11037
BOWER,5,11585
BOWLS,5,11203
BOWSE,5,13037
BOXED,5,9900
BOXER,5,11093
BOXES,5,12545
BOXLA,5,10200
BOYAR,5,11984
BOYLA,5,11436
BOYOS,4,12414
BOZOS,4,11206
BRACE,5,13380
BRACH,5,10482
BRACT,5,11463
BRADS,5,13731
BRAES,5,16210
BRAGS,5,13168
BRAID,5,12058
BRAIL,5,12703
BRAIN,5,12396
BRAKE,5,12882
BRAKY,5,10189
BRAND,5,11424
BRANK,5,10741
BRANS,5,14069
BRANT,5,11986
BRASH,5,13312
BRASS,4,16376
BRATS,5,14293
BRAVA,4,12042
BRAVE,5,12387
BRAVI,5,10880
BRAVO,5,11020
BRAWL,5,10773
BRAWN,5,10466
BRAWS,5,12773
BRAXY,5,9422
BRAYS,5,13517
BRAZA,4,11798
BRAZE,5,12143
BREAD,5,13565
BREAK,5,12882
BREAM,5,13234
BREDE,4,13910
BREED,4,13910
BREES,4,16555
BRENS,5,14414
BRENT,5,12331
BREVE,4,12732
BREWS,5,13118
BRIAR,4,13251
BRIBE,4,11802
BRICK,5,9056
BRIDE,5,12403
BRIEF,5,11465
BRIER,4,13596
BRIES,5,15048
BRIGS,5,12006
BRILL,4,11214
BRIMS,5,12238
BRINE,5,12741
BRING,5,9699
BRINK,5,9579
BRINS,5,12907
BRINY,5,10048
BRIOS,5,13681
BRISK,5,11886
BRISS,4,15214
BRITH,5,10067
BRITS,5,13131
BRITT,4,11048
BROAD,5,12198
BROCH,5,9460
BROCK,5,9196
BROIL,5,11681
BROKE,5,11860
BROME,5,12212
BROMO,4,10845
BRONC,5,10217
BROOD,4,11176
BROOK,4,10493
BROOM,4,10845
BROOS,4,13821
BROSE,5,15188
BROSY,5,12495
BROTH,5,10207
BROWN,5,9444
BROWS,5,11751
BRUGH,5,8063
BRUIN,5,10355
BRUIT,5,10579
BRUME,5,11193
BRUNG,5,8820
BRUNT,5,9945
BRUSH,5,11271
BRUSK,5,11007
BRUTE,5,12086
BRUTS,5,12252
BUBAL,4,10030
BUBBE,3,9129
BUBBY,3,6436
BUBUS,3,9989
BUCKO,5,8096
BUCKS,5,9629
BUDDY,4,7638
BUDGE,5,9768
BUFFI,4,6948
BUFFO,4,7088
BUFFS,4,8621
BUFFY,4,5762
BUGGY,4,6512
BUGLE,5,10413
BUHLS,5,10723
BUHRS,5,11271
BUILD,5,9469
BUILT,5,10031
BULBS,4,10541
